subpanel,model,encoding,gamma,coupling_strength,primary_quantity,primary_mean,primary_sd,secondary_quantity,secondary_mean,secondary_sd,rho_sweep,rho_fixed,rho_fixed_ci_low,rho_fixed_ci_high
a,DV-QRC,Local,7,1.0000000000000001e-05,C_mix,0,0,negativity,2.9057939150298194e-07,2.7866695363801223e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,2.1544346900318823e-05,C_mix,0,0,negativity,2.9058492400636357e-07,3.1185816059423864e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,4.6415888336127818e-05,C_mix,0.59814947842445298,0.48846299882662159,negativity,2.9177581907092737e-07,2.8082751412979465e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.0001,C_mix,1.3696624181367754,0.77406423193856588,negativity,2.909377562661224e-07,4.6766146026010858e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.00021544346900318823,C_mix,2.4172198834243912,0.70902970776943863,negativity,2.9009865156080343e-07,3.3716294224785753e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.00046415888336127773,C_mix,2.7742623718554347,0.33033744640098739,negativity,2.901636630709199e-07,2.2511132133794188e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.001,C_mix,2.8913705399743135,0.11691850172345686,negativity,2.9005588565849924e-07,3.3907964822017736e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.0021544346900318821,C_mix,2.8925229960651087,0.11671383309455727,negativity,2.8964374866162059e-07,3.1309736348851602e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.0046415888336127772,C_mix,2.8975755044723339,0.11329847112002761,negativity,2.8870342891839524e-07,3.7826211046209029e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.01,C_mix,2.9044668154403106,0.11693513823259422,negativity,2.9016943712523687e-07,3.9808861028151201e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.021544346900318822,C_mix,2.9177400380827305,0.11917454253577757,negativity,2.9149809098817091e-07,4.2797244370824348e-09,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.046415888336127774,C_mix,2.9791234689349069,0.13592230234264308,negativity,0.00040972380071588771,0.00017660740846440389,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.10000000000000001,C_mix,3.2403660460147359,0.24388460298344256,negativity,0.0048736288315205717,0.00081093312723858589,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.21544346900318823,C_mix,3.6690592749692752,0.2279790655621533,negativity,0.016522477210789092,0.0018807513317344222,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,0.46415888336127725,C_mix,3.8607952647778978,0.19674985650505328,negativity,0.041379565189589337,0.0040638094808666449,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,1,C_mix,3.9951015322567458,0.1736081896454251,negativity,0.090193496151498492,0.0083671450447456996,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,2.154434690031882,C_mix,4.1637705227254749,0.17519816415353723,negativity,0.16636916332181048,0.01366211481795673,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,4.6415888336127722,C_mix,3.7920400109080967,0.24505830489555736,negativity,0.20571663238496746,0.013816236179042847,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Local,7,10,C_mix,3.1744304941528725,0.23496813203305039,negativity,0.1184808856452931,0.017442566926872106,0.70820542140252796,0.089579408291643556,-0.09487815927922677,0.26808997989402739
a,DV-QRC,Clustered,4,1.0000000000000001e-05,C_mix,0.016236634461560734,0.031418699804527064,negativity,2.780343472092522e-08,4.3656223002458765e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
a,DV-QRC,Clustered,4,2.1544346900318823e-05,C_mix,0.065302564140043137,0.11567461119584056,negativity,2.7793822942130736e-08,4.3437559943992369e-09,0.94912280701754381,0.25695154069695458,0.062952158132939862,0.43223984416894884
